node_id,lon,lat,built,fast,slow,total
43262,114.1437509,22.38448589,True,16,25,41
43416,114.243,22.50757244,True,7,25,32
48842,114.2166089,22.32147795,True,10,5,15
3251,114.2050725,22.21630782,True,17,25,42
498,114.1975061,22.21198023,True,21,23,44
50635,114.2244596,22.31591234,True,15,14,29
18074,114.2666265,22.32035525,True,3,21,24
47166,114.1959787,22.28957824,True,5,23,28
39791,114.254399,22.3242639,False,0,0,0
1265,114.2535022,22.25124784,True,9,19,28
42550,114.0623371,22.45645634,True,25,16,41
6617,114.128606,22.27976478,True,25,5,30
21886,114.1619948,22.31799122,False,0,0,0
41203,114.0679114,22.4135893,False,0,0,0
12950,114.1634671,22.31514265,False,0,0,0
33830,114.214384,22.30562711,True,25,20,45
44328,114.1881957,22.32984304,False,0,0,0
7428,114.0441121,22.36208959,True,3,4,7
35196,114.1890403,22.31512122,False,0,0,0
10618,114.1658011,22.44703751,True,24,25,49
37324,114.1565417,22.24317386,True,17,19,36
43077,114.206569,22.47267338,True,15,18,33
48184,114.2181773,22.33476662,False,0,0,0
5475,113.9698949,22.37426925,False,0,0,0
43423,114.1815909,22.55233279,True,8,6,14
29587,114.2251482,22.33245215,True,18,22,40
42077,114.0954848,22.44142692,True,18,13,31
42737,114.2342356,22.31317765,True,14,25,39
40289,114.1508599,22.2526645,True,8,25,33
48425,114.2067959,22.32848453,True,14,25,39
35779,113.9840443,22.46752838,True,19,17,36
46664,114.1640896,22.33958826,True,3,3,6
6566,114.1389549,22.2807896,False,0,0,0
37736,114.2746181,22.3055721,True,9,20,29
22526,114.1776007,22.31977576,True,18,17,35
10835,114.1240296,22.51300239,False,0,0,0
10451,114.2036108,22.38693744,True,3,25,28
11536,113.9902269,22.45091523,True,10,25,35
30007,114.1095522,22.36871962,False,0,0,0
43016,114.2564707,22.31421648,True,17,19,36
6446,114.2503132,22.26235988,True,6,11,17
21789,114.0222189,22.44316438,True,7,14,21
48815,114.0748727,22.50778896,True,25,7,32
46194,114.1694039,22.32212975,True,3,23,26
22982,114.1784846,22.29885216,True,15,19,34
8200,114.1704699,22.27818704,True,3,22,25
